variable,role,source_table,source_column,event_timestamp,unit_source,prediction_cutoff,allowed_before_cutoff,leakage_rule,notes
lab_abnormal_flag_counts,lab,labevents,flag,labevents.charttime,count,index_dischtime,TRUE,LR2,Count of results flagged abnormal before the cutoff. Vocabulary of flag must be pinned at Day 2.
med_loop_diuretic_any,medication,prescriptions,drug,prescriptions.starttime,binary,index_dischtime,TRUE,LR3,CANDIDATE ONLY - no medication feature is engineered at Day 1. Name matching on furosemide/torsemide/bumetanide with starttime <= cutoff.
med_acei_arb_arni_any,medication,prescriptions,drug,prescriptions.starttime,binary,index_dischtime,TRUE,LR3,CANDIDATE ONLY. Name matching on lisinopril/enalapril/losartan/valsartan/sacubitril.
med_beta_blocker_any,medication,prescriptions,drug,prescriptions.starttime,binary,index_dischtime,TRUE,LR3,CANDIDATE ONLY. Name matching on carvedilol/metoprolol/bisoprolol.
med_mra_any,medication,prescriptions,drug,prescriptions.starttime,binary,index_dischtime,TRUE,LR3,CANDIDATE ONLY. Name matching on spironolactone/eplerenone.
med_sglt2_any,medication,prescriptions,drug,prescriptions.starttime,binary,index_dischtime,TRUE,LR3,CANDIDATE ONLY. Name matching on dapagliflozin/empagliflozin.
n_distinct_drugs_index,medication,prescriptions,drug,prescriptions.starttime,count,index_dischtime,TRUE,LR3,CANDIDATE ONLY. Polypharmacy proxy over the index admission up to the cutoff.
med_dose_features,deferred,prescriptions,"dose_val_rx, dose_unit_rx, doses_per_24_hrs, route",prescriptions.starttime,mixed,index_dischtime,TRUE,LR3,"DEFERRED past Day 1. dose_val_rx is free text with ranges, and units vary by drug; normalisation must be specified before any dose feature is built."
n_notes_before_cutoff,notes_meta,clinical_notes,note_id,clinical_notes.charttime,count,index_dischtime,TRUE,LR6,"Availability metadata only. Notes with NULL charttime cannot be proven pre-cutoff and must be dropped, not assumed."
has_discharge_summary,notes_meta,clinical_notes,note_type,clinical_notes.charttime,binary,index_dischtime,TRUE,LR6,Availability flag for a possible future text layer. No note text is used at Day 1.
hospital_expire_flag,mortality_qc,admissions,hospital_expire_flag,admissions.dischtime,binary,index_dischtime,FALSE,LR7,"Cohort exclusion criterion, never a predictor. Index admissions with flag=1 are removed."
deathtime,mortality_qc,admissions,deathtime,admissions.deathtime,timestamp,index_dischtime,FALSE,LR7,"Cohort exclusion criterion, never a predictor. Cross-checked against hospital_expire_flag in the audit."
dod,mortality_qc,patients,dod,patients.dod,timestamp,index_dischtime,FALSE,LR7,"Post-discharge death. Competing risk for the readmission outcome; used for censoring analysis only, never as a feature."
died_within_90d_post_discharge,mortality_qc,patients + admissions,"dod, dischtime",patients.dod,binary,index_dischtime,FALSE,LR7,Derived competing-risk indicator reported alongside the outcome. Not a predictor.
next_hadm_id,outcome,admissions,hadm_id,admissions.admittime,id,index_dischtime,FALSE,LR5,"hadm_id of the next admission from LEAD(admittime) partitioned by subject_id ordered by admittime, hadm_id."
days_to_next_admission,outcome,admissions,"admittime, dischtime",admissions.admittime,days,index_dischtime,FALSE,LR5,next_admittime minus index dischtime. NULL when no later admission is recorded. Post-cutoff by construction.
readmit_30d,outcome,admissions,admittime,admissions.admittime,binary,index_dischtime,FALSE,LR5,SECONDARY OUTCOME. 1 when days_to_next_admission > 0 and <= 30; else 0.
readmit_90d,outcome,admissions,admittime,admissions.admittime,binary,index_dischtime,FALSE,LR5,PRIMARY OUTCOME. 1 when days_to_next_admission > 0 and <= 90; else 0. Next admission may be any cause.
